date,retail and recreation,grocery and pharmacy,parks,transit stations,workplaces,residential
2020-02-15,8.0,5.0,19.0,5.0,4.0,-1.0
2020-02-16,4.0,4.0,7.0,-1.0,0.0,0.0
2020-02-17,0.0,2.0,0.0,-1.0,4.0,0.0
2020-02-18,0.0,2.0,1.0,2.0,3.0,0.0
2020-02-19,-3.0,-2.0,-2.0,-5.0,4.0,0.0
2020-02-20,-1.0,-1.0,-2.0,-2.0,4.0,0.0
2020-02-21,-2.0,-1.0,1.0,-5.0,6.0,1.0
2020-02-22,0.0,-2.0,9.0,-1.0,5.0,0.0
2020-02-23,-3.0,-3.0,3.0,-9.0,1.0,1.0
2020-02-24,0.0,-2.0,5.0,-6.0,1.0,0.0
2020-02-25,-3.0,-3.0,8.0,-26.0,-46.0,12.0
2020-02-26,-3.0,-1.0,3.0,-4.0,4.0,0.0
2020-02-27,-2.0,-1.0,2.0,-3.0,4.0,0.0
2020-02-28,0.0,3.0,5.0,-4.0,6.0,0.0
2020-02-29,5.0,6.0,13.0,4.0,6.0,-1.0
2020-03-01,3.0,6.0,7.0,-4.0,2.0,0.0
2020-03-02,1.0,3.0,3.0,-5.0,5.0,0.0
2020-03-03,0.0,3.0,1.0,-3.0,4.0,0.0
2020-03-04,-1.0,2.0,0.0,-6.0,4.0,0.0
2020-03-05,0.0,3.0,1.0,-3.0,5.0,0.0
2020-03-06,-2.0,1.0,2.0,-6.0,6.0,1.0
2020-03-07,-1.0,0.0,11.0,-2.0,5.0,0.0
2020-03-08,-5.0,-1.0,2.0,-9.0,1.0,1.0
2020-03-09,-5.0,2.0,-4.0,-9.0,2.0,1.0
2020-03-10,-9.0,4.0,-15.0,-15.0,-13.0,5.0
2020-03-11,-12.0,5.0,-19.0,-22.0,-15.0,6.0
2020-03-12,-14.0,10.0,-21.0,-21.0,-16.0,7.0
2020-03-13,-18.0,9.0,-27.0,-23.0,-18.0,10.0
2020-03-14,-24.0,3.0,-30.0,-22.0,-12.0,7.0
2020-03-15,-49.0,-20.0,-49.0,-57.0,-16.0,13.0
2020-03-16,-42.0,-6.0,-37.0,-51.0,-36.0,16.0
2020-03-17,-70.0,-33.0,-61.0,-78.0,-70.0,30.0
2020-03-18,-77.0,-46.0,-68.0,-85.0,-75.0,34.0
2020-03-19,-80.0,-51.0,-70.0,-87.0,-77.0,36.0
2020-03-20,-81.0,-53.0,-72.0,-89.0,-78.0,39.0
2020-03-21,-81.0,-55.0,-73.0,-88.0,-70.0,30.0
2020-03-22,-84.0,-59.0,-76.0,-89.0,-63.0,25.0
2020-03-23,-81.0,-56.0,-73.0,-90.0,-79.0,36.0
2020-03-24,-82.0,-58.0,-75.0,-90.0,-81.0,37.0
2020-03-25,-82.0,-58.0,-75.0,-90.0,-81.0,37.0
2020-03-26,-83.0,-60.0,-76.0,-90.0,-81.0,38.0
2020-03-27,-82.0,-58.0,-76.0,-91.0,-80.0,41.0
2020-03-28,-82.0,-58.0,-75.0,-89.0,-73.0,31.0
2020-03-29,-85.0,-63.0,-78.0,-89.0,-65.0,26.0
2020-03-30,-83.0,-62.0,-75.0,-91.0,-81.0,37.0
2020-03-31,-83.0,-61.0,-76.0,-91.0,-82.0,38.0
2020-04-01,-84.0,-63.0,-76.0,-91.0,-82.0,38.0
2020-04-02,-84.0,-63.0,-77.0,-91.0,-82.0,39.0
2020-04-03,-84.0,-63.0,-77.0,-92.0,-81.0,42.0
2020-04-04,-84.0,-62.0,-77.0,-90.0,-74.0,32.0
2020-04-05,-85.0,-64.0,-78.0,-90.0,-65.0,26.0
2020-04-06,-82.0,-61.0,-75.0,-91.0,-80.0,38.0
2020-04-07,-81.0,-58.0,-75.0,-91.0,-81.0,38.0
2020-04-08,-80.0,-54.0,-74.0,-90.0,-81.0,37.0
2020-04-09,-88.0,-71.0,-78.0,-93.0,-86.0,41.0
2020-04-10,-91.0,-80.0,-83.0,-95.0,-87.0,46.0
2020-04-11,-84.0,-63.0,-78.0,-91.0,-76.0,34.0
2020-04-12,-84.0,-63.0,-77.0,-90.0,-65.0,26.0
2020-04-13,-80.0,-57.0,-72.0,-90.0,-79.0,37.0
2020-04-14,-80.0,-56.0,-73.0,-89.0,-80.0,37.0
2020-04-15,-80.0,-56.0,-74.0,-90.0,-79.0,38.0
2020-04-16,-81.0,-58.0,-74.0,-90.0,-80.0,38.0
2020-04-17,-83.0,-60.0,-75.0,-91.0,-79.0,41.0
2020-04-18,-82.0,-60.0,-76.0,-90.0,-71.0,32.0
2020-04-19,-84.0,-62.0,-77.0,-90.0,-63.0,27.0
2020-04-20,-80.0,-57.0,-73.0,-90.0,-79.0,37.0
2020-04-21,-82.0,-60.0,-76.0,-91.0,-80.0,38.0
2020-04-22,-83.0,-63.0,-76.0,-91.0,-80.0,39.0
2020-04-23,-83.0,-63.0,-76.0,-91.0,-80.0,39.0
2020-04-24,-84.0,-64.0,-77.0,-92.0,-79.0,42.0
2020-04-25,-83.0,-62.0,-76.0,-91.0,-71.0,33.0
2020-04-26,-85.0,-65.0,-78.0,-90.0,-63.0,27.0
2020-04-27,-81.0,-61.0,-74.0,-90.0,-78.0,37.0
2020-04-28,-81.0,-59.0,-74.0,-90.0,-78.0,38.0
2020-04-29,-80.0,-58.0,-75.0,-90.0,-78.0,38.0
2020-04-30,-87.0,-49.0,-89.0,-87.0,-77.0,37.0
2020-05-01,-89.0,-54.0,-90.0,-89.0,-81.0,43.0
2020-05-02,-88.0,-53.0,-89.0,-86.0,-70.0,32.0
2020-05-03,-90.0,-60.0,-90.0,-87.0,-62.0,27.0
2020-05-04,-87.0,-53.0,-89.0,-87.0,-76.0,36.0
2020-05-05,-87.0,-50.0,-89.0,-86.0,-77.0,37.0
2020-05-06,-86.0,-48.0,-89.0,-86.0,-76.0,37.0
2020-05-07,-85.0,-48.0,-89.0,-87.0,-76.0,37.0
2020-05-08,-86.0,-48.0,-88.0,-87.0,-75.0,40.0
2020-05-09,-84.0,-45.0,-88.0,-84.0,-66.0,31.0
2020-05-10,-83.0,-46.0,-88.0,-83.0,-56.0,24.0
2020-05-11,-84.0,-46.0,-86.0,-86.0,-74.0,36.0
2020-05-12,-84.0,-45.0,-88.0,-86.0,-75.0,37.0
2020-05-13,-84.0,-46.0,-87.0,-86.0,-74.0,37.0
2020-05-14,-83.0,-45.0,-87.0,-86.0,-74.0,37.0
2020-05-15,-86.0,-55.0,-89.0,-89.0,-74.0,41.0
2020-05-16,-79.0,-37.0,-85.0,-81.0,-61.0,29.0
2020-05-17,-81.0,-42.0,-86.0,-81.0,-51.0,25.0
2020-05-18,-77.0,-34.0,-83.0,-81.0,-65.0,32.0
2020-05-19,-78.0,-36.0,-84.0,-81.0,-67.0,33.0
2020-05-20,-77.0,-36.0,-84.0,-81.0,-66.0,33.0
2020-05-21,-77.0,-36.0,-83.0,-81.0,-67.0,33.0
2020-05-22,-78.0,-37.0,-84.0,-82.0,-64.0,36.0
2020-05-23,-77.0,-38.0,-84.0,-80.0,-54.0,28.0
2020-05-24,-79.0,-41.0,-85.0,-80.0,-47.0,24.0
2020-05-25,-76.0,-35.0,-84.0,-83.0,-74.0,35.0
2020-05-26,-75.0,-34.0,-83.0,-79.0,-63.0,32.0
2020-05-27,-76.0,-35.0,-83.0,-80.0,-63.0,32.0
2020-05-28,-76.0,-35.0,-83.0,-80.0,-63.0,33.0
2020-05-29,-76.0,-35.0,-83.0,-80.0,-61.0,35.0
2020-05-30,-74.0,-30.0,-83.0,-77.0,-49.0,26.0
2020-05-31,-76.0,-33.0,-83.0,-76.0,-40.0,23.0
2020-06-01,-68.0,-21.0,-78.0,-71.0,-55.0,27.0
2020-06-02,-69.0,-22.0,-79.0,-70.0,-56.0,28.0
2020-06-03,-68.0,-21.0,-79.0,-70.0,-56.0,28.0
2020-06-04,-69.0,-22.0,-79.0,-70.0,-56.0,28.0
2020-06-05,-65.0,-22.0,-74.0,-71.0,-54.0,31.0
2020-06-06,-63.0,-20.0,-75.0,-67.0,-41.0,23.0
2020-06-07,-66.0,-25.0,-76.0,-67.0,-33.0,20.0
2020-06-08,-60.0,-18.0,-71.0,-67.0,-53.0,25.0
2020-06-09,-62.0,-21.0,-72.0,-67.0,-55.0,27.0
2020-06-10,-63.0,-22.0,-71.0,-68.0,-54.0,27.0
2020-06-11,-61.0,-22.0,-68.0,-65.0,-56.0,27.0
2020-06-12,-65.0,-24.0,-77.0,-74.0,-67.0,35.0
2020-06-13,-61.0,-19.0,-73.0,-66.0,-41.0,23.0
2020-06-14,-64.0,-23.0,-74.0,-65.0,-31.0,20.0
2020-06-15,-57.0,-15.0,-65.0,-63.0,-50.0,25.0
2020-06-16,-57.0,-13.0,-69.0,-64.0,-52.0,25.0
2020-06-17,-58.0,-17.0,-67.0,-64.0,-52.0,26.0
2020-06-18,-57.0,-24.0,-48.0,-66.0,-53.0,26.0
2020-06-19,-60.0,-29.0,-52.0,-69.0,-53.0,29.0
