date,cases_DateRepConf
2020-01-30,1
2020-02-03,1
2020-02-05,1
2020-03-06,2
2020-03-07,1
2020-03-08,4
2020-03-09,14
2020-03-10,9
2020-03-11,16
2020-03-12,3
2020-03-13,12
2020-03-14,47
2020-03-15,28
2020-03-16,2
2020-03-17,45
2020-03-18,15
2020-03-19,15
2020-03-20,13
2020-03-21,77
2020-03-22,73
2020-03-23,81
2020-03-24,90
2020-03-25,84
2020-03-26,70
2020-03-27,102
2020-03-28,267
2020-03-29,343
2020-03-30,127
2020-03-31,538
2020-04-01,227
2020-04-02,322
2020-04-03,385
2020-04-04,75
2020-04-05,152
2020-04-06,413
2020-04-07,104
2020-04-08,106
2020-04-09,205
2020-04-10,119
2020-04-11,233
2020-04-12,220
2020-04-13,284
2020-04-14,290
2020-04-15,230
2020-04-16,207
2020-04-17,218
2020-04-18,207
2020-04-19,171
2020-04-20,197
2020-04-21,136
2020-04-22,110
2020-04-23,271
2020-04-24,211
2020-04-25,102
2020-04-26,284
2020-04-27,197
2020-04-28,181
2020-04-29,253
2020-04-30,272
2020-05-01,281
2020-05-02,155
2020-05-03,295
2020-05-04,261
2020-05-05,199
2020-05-06,319
2020-05-07,336
2020-05-08,118
2020-05-09,147
2020-05-10,182
2020-05-11,288
2020-05-12,263
2020-05-13,267
2020-05-14,257
2020-05-15,213
2020-05-16,214
2020-05-17,207
2020-05-18,205
2020-05-19,223
2020-05-20,276
2020-05-21,211
2020-05-22,163
2020-05-23,179
2020-05-24,257
2020-05-25,282
2020-05-26,349
2020-05-27,376
2020-05-28,535
2020-05-29,1041
2020-05-30,585
2020-05-31,855
2020-06-01,548
2020-06-02,358
2020-06-03,745
2020-06-04,630
2020-06-05,241
2020-06-06,704
2020-06-07,549
2020-06-08,573
2020-06-09,511
2020-06-10,727
2020-06-11,441
2020-06-12,607
2020-06-13,603
2020-06-14,535
2020-06-15,483
2020-06-16,362
2020-06-17,456
2020-06-18,560
2020-06-19,653
2020-06-20,936
2020-06-21,649
2020-06-22,626
2020-06-23,1140
2020-06-24,469
2020-06-25,770
2020-06-26,997
2020-06-27,735
2020-06-28,643
2020-06-29,969
2020-06-30,1048
2020-07-01,847
2020-07-02,253
2020-07-03,1480
2020-07-04,1372
2020-07-05,2333
2020-07-06,1990
2020-07-07,1480
2020-07-08,2313
2020-07-09,1342
2020-07-10,1173
2020-07-11,1322
2020-07-12,2067
2020-07-13,814
2020-07-14,603
2020-07-15,1274
2020-07-16,2414
2020-07-17,1671
2020-07-18,2247
2020-07-19,2183
2020-07-20,1494
2020-07-21,1910
2020-07-22,1461
2020-07-23,2119
2020-07-24,2013
2020-07-25,1972
2020-07-26,2047
2020-07-27,1638
2020-07-28,1611
2020-07-29,1831
2020-07-30,3857
2020-07-31,3947
2020-08-01,4836
2020-08-02,4909
2020-08-03,3149
2020-08-04,5936
2020-08-05,3412
2020-08-06,3485
2020-08-07,3319
2020-08-08,4168
2020-08-09,3028
2020-08-10,6869
2020-08-11,2893
2020-08-12,4255
2020-08-13,3926
2020-08-14,6117
2020-08-15,4266
2020-08-16,3347
2020-08-17,3278
2020-08-18,4808
2020-08-19,4564
2020-08-20,4264
2020-08-21,4733
2020-08-22,4891
2020-08-23,2349
2020-08-24,4633
2020-08-25,2947
2020-08-26,5235
2020-08-27,3220
2020-08-28,3949
2020-08-29,3602
2020-08-30,4246
2020-08-31,3423
2020-09-01,3457
2020-09-02,2207
2020-09-03,1948
2020-09-04,3698
2020-09-05,2506
2020-09-06,2817
2020-09-07,1370
2020-09-08,3271
2020-09-09,3159
2020-09-10,3802
2020-09-11,4026
2020-09-12,4922
2020-09-13,3354
2020-09-14,4687
2020-09-15,3530
2020-09-16,3536
2020-09-17,3362
2020-09-18,3214
2020-09-19,3825
2020-09-20,3169
2020-09-21,3013
2020-09-22,1621
2020-09-23,2800
2020-09-24,2160
2020-09-25,2603
2020-09-26,2739
2020-09-27,2991
2020-09-28,3072
2020-09-29,2004
2020-09-30,2426
