date,cases_DateRepConf
2020-01-30,1
2020-02-03,1
2020-02-05,1
2020-03-06,2
2020-03-07,1
2020-03-08,4
2020-03-09,14
2020-03-10,9
2020-03-11,16
2020-03-12,3
2020-03-13,12
2020-03-14,47
2020-03-15,28
2020-03-16,2
2020-03-17,45
2020-03-18,15
2020-03-19,15
2020-03-20,13
2020-03-21,77
2020-03-22,73
2020-03-23,81
2020-03-24,90
2020-03-25,84
2020-03-26,70
2020-03-27,102
2020-03-28,267
2020-03-29,343
2020-03-30,127
2020-03-31,538
2020-04-01,227
2020-04-02,322
2020-04-03,385
2020-04-04,75
2020-04-05,152
2020-04-06,413
2020-04-07,104
2020-04-08,106
2020-04-09,205
2020-04-10,119
2020-04-11,233
2020-04-12,220
2020-04-13,284
2020-04-14,290
2020-04-15,230
2020-04-16,207
2020-04-17,218
2020-04-18,207
2020-04-19,171
2020-04-20,197
2020-04-21,136
2020-04-22,110
2020-04-23,271
2020-04-24,211
2020-04-25,102
2020-04-26,284
2020-04-27,197
2020-04-28,181
2020-04-29,253
2020-04-30,272
2020-05-01,281
2020-05-02,155
2020-05-03,295
2020-05-04,261
2020-05-05,199
2020-05-06,319
2020-05-07,336
2020-05-08,118
2020-05-09,147
2020-05-10,182
2020-05-11,288
2020-05-12,263
2020-05-13,267
2020-05-14,257
2020-05-15,213
2020-05-16,214
2020-05-17,207
2020-05-18,205
2020-05-19,223
2020-05-20,276
2020-05-21,211
2020-05-22,163
2020-05-23,179
2020-05-24,257
2020-05-25,282
2020-05-26,349
2020-05-27,376
2020-05-28,536
2020-05-29,1041
2020-05-30,585
2020-05-31,855
2020-06-01,548
2020-06-02,358
2020-06-03,745
2020-06-04,630
2020-06-05,241
2020-06-06,704
2020-06-07,549
2020-06-08,573
2020-06-09,511
2020-06-10,728
2020-06-11,441
2020-06-12,607
2020-06-13,603
2020-06-14,535
2020-06-15,483
2020-06-16,362
2020-06-17,456
2020-06-18,560
2020-06-19,653
2020-06-20,937
2020-06-21,649
2020-06-22,627
2020-06-23,1141
2020-06-24,469
2020-06-25,771
2020-06-26,998
2020-06-27,736
2020-06-28,643
2020-06-29,969
2020-06-30,1048
2020-07-01,847
2020-07-02,253
2020-07-03,1482
2020-07-04,1373
2020-07-05,2333
2020-07-06,1990
2020-07-07,1481
2020-07-08,2313
2020-07-09,1344
2020-07-10,1174
2020-07-11,1322
2020-07-12,2069
2020-07-13,817
2020-07-14,604
2020-07-15,1275
2020-07-16,2416
2020-07-17,1672
2020-07-18,2248
2020-07-19,2186
2020-07-20,1495
2020-07-21,1910
2020-07-22,1470
2020-07-23,2120
2020-07-24,2016
2020-07-25,1972
2020-07-26,2050
2020-07-27,1638
2020-07-28,1612
2020-07-29,1834
2020-07-30,3862
2020-07-31,3948
2020-08-01,4841
2020-08-02,4913
2020-08-03,3152
2020-08-04,5944
2020-08-05,3415
2020-08-06,3488
2020-08-07,3321
2020-08-08,4169
2020-08-09,3033
2020-08-10,6878
2020-08-11,2895
2020-08-12,4260
2020-08-13,3930
2020-08-14,6122
2020-08-15,4273
2020-08-16,3351
2020-08-17,3287
2020-08-18,4809
2020-08-19,4575
2020-08-20,4273
2020-08-21,4743
2020-08-22,4900
2020-08-23,2353
2020-08-24,4640
2020-08-25,2952
2020-08-26,5245
2020-08-27,3228
2020-08-28,3956
2020-08-29,3615
2020-08-30,4255
2020-08-31,3427
2020-09-01,3466
2020-09-02,2212
2020-09-03,1962
2020-09-04,3704
2020-09-05,2517
2020-09-06,2824
2020-09-07,1374
2020-09-08,3281
